ID	LG	POS
20324	1	0
24952	1	0.49617355
35329	1	0.49627355
30716	1	0.49637355
13050	1	1.462099158
34186	1	1.944125472
24644	1	2.910449869
31768	1	3.876590959
34424	1	8.305906077
16912	1	9.759733737
21142	1	10.24166785
32096	1	10.24176785
8795	1	11.30313879
28193	1	15.65370567
17653	1	16.62232827
35088	1	16.62242827
23947	1	16.62252827
28797	1	16.62262827
8959	1	16.62272827
11158	1	17.71945082
29818	1	17.71955082
19717	1	18.81709474
53664	1	21.01573483
28072	1	21.01583483
221	1	21.50194151
32322	1	22.47184535
42207	1	22.47194535
37701	1	23.44272865
35198	1	23.44282865
22683	1	29.70584683
30461	1	30.19794554
32494	1	30.19804554
17166	1	30.19814554
18267	1	30.68951007
5722	1	30.68961007
29197	1	30.68971007
14113	1	30.68981007
47210	1	30.68991007
34778	1	32.36457947
16088	1	37.39272496
15115	1	38.46302741
31183	1	38.46312741
32186	1	42.02107875
12351	1	43.58919827
34684	1	44.60254992
8491	1	44.60264992
19660	1	44.60294083
11119	1	45.09075399
34726	1	45.09172422
12039	1	45.09268475
16828	1	45.09527806
25896	1	45.09537806
12899	1	45.58815893
8007	1	45.58825893
27358	1	46.08111688
28033	1	46.08121688
41676	1	46.08131688
7129	1	46.08141688
27081	1	46.57427485
20074	1	46.57437485
31742	1	47.06735727
39282	1	47.56033969
44062	1	48.05392232
6868	1	48.05402232
10093	1	48.59222365
4349	1	54.01649618
7259	1	54.01659618
27242	1	55.03123751
19298	1	55.52412231
13160	1	55.52422231
50926	1	55.52432231
10017	1	55.52442231
9504	1	56.01715337
53444	1	56.01725337
43100	1	56.51029677
8755	1	58.6759815
19428	1	59.49833785
27902	1	61.71187403
12614	1	63.16674484
13406	1	63.89531221
17981	1	63.89541221
12513	1	63.89551221
45458	1	63.89561221
34283	1	64.62410038
36906	1	65.35258855
54398	1	65.35268855
19065	1	65.35278855
30506	1	65.35288855
29643	1	65.35298855
25874	1	69.95270355
24059	1	71.21600948
4764	1	77.84037373
33795	1	81.07249689
23128	1	82.16281071
28342	1	83.06771535
15539	1	83.06781535
26253	1	83.06791535
58077	1	83.8603565
51365	1	83.8604565
25912	1	83.8605565
28661	1	83.8606565
51713	1	85.44385788
27116	1	87.46342226
12370	1	88.9483478
37771	1	89.55525662
32943	1	90.16208845
54426	1	91.37292104
38168	1	91.37302104
8924	1	93.7725697
37654	1	93.7726697
12523	1	97.67907547
51527	1	98.60021158
55077	1	102.6014936
17615	1	106.4831501
17597	1	106.4832501
27474	1	111.356957
33989	1	111.357057
11343	1	111.357157
34182	1	111.357257
20252	2	0
54456	2	1.000885258
44147	2	3.890278202
14073	2	3.890378202
25241	2	4.444922589
36212	2	4.445022589
19015	2	4.445122589
9991	2	4.445222589
31638	2	5.546036791
34011	2	8.281295575
6401	2	8.800603833
13855	2	9.78881378
21780	2	12.68433211
9168	2	19.33312939
9749	2	21.38852512
50694	2	21.38862512
11477	2	25.51296641
27716	2	25.51306641
29985	2	25.51316641
27545	2	25.51326641
21584	2	27.44522611
9796	2	33.24639606
8794	2	33.24649606
11777	2	33.24659606
47906	2	33.24669606
45796	2	33.24679606
12734	2	36.13665271
12837	2	36.13675271
16101	2	36.13685271
35727	2	36.13695271
55965	2	37.05334331
53111	2	50.07193745
17655	2	53.89541632
41180	2	54.37840437
25894	2	54.37850437
33728	2	54.85956793
35849	2	55.90681709
9965	2	55.90691709
30641	2	60.64582211
33851	2	60.64592211
12326	2	64.50172676
16319	2	64.50182676
27409	2	64.50192676
29611	2	65.94661862
57225	2	65.94671862
27186	2	69.731893
17245	2	71.81597683
30834	2	75.72591384
20308	2	77.18517751
54127	2	78.62769987
46157	2	78.62789929
42114	2	78.62809879
43688	2	78.62829883
23013	2	78.62944956
33987	2	79.59227038
13608	2	79.59237038
26510	2	82.1859091
17209	2	83.47661236
46418	2	83.47671236
42135	2	83.95792814
35920	2	83.95802814
35413	2	86.36406129
47535	2	86.36416129
24503	2	86.36426129
11331	2	88.3262204
24747	2	88.3263204
30842	2	90.26904609
8067	2	90.26914609
43325	3	0
53878	3	1.00E-04
32538	3	0.0002
44563	3	0.0003
49493	3	1.154700433
13720	3	1.154800433
23009	3	1.628997238
54723	3	1.930917295
36589	3	2.219624835
30318	3	2.809626983
53255	3	3.399629135
4832	3	3.399729135
8365	3	4.091823317
18035	3	4.091923317
29432	3	10.82609566
49936	3	11.24723781
39027	3	12.0870048
51574	3	13.7571404
26069	3	14.23197665
29324	3	15.26971251
10819	3	15.26981251
19970	3	15.26991251
28466	3	15.27001251
24137	3	15.27011251
42026	3	19.54694184
13440	3	21.70992321
16863	3	27.39849763
12201	3	30.91034059
14613	3	30.91044059
11056	3	32.93325379
43800	3	34.95608686
42902	3	34.95618686
56677	3	34.95628686
8069	3	34.95638686
41208	3	36.22986453
18967	3	36.86819893
6188	3	40.03404324
38978	3	40.03414324
